accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,latitude,longitude,minimum_nights,number_of_reviews,d_centre,instant_bookable_f,instant_bookable_t,room_type_Home_or_apt,room_type_Privateroom,room_type_Sharedroom
2,1,1,3,1,3,52.36584673,4.87773086,2,7,2.089442833,1,0,0,1,0
2,1,1,1,1,1,52.36173485,4.865306275,2,0,3.020362139,1,0,1,0,0
2,1.5,1,2,1,3,52.32815812,4.885381653,1,0,5.750428767,1,0,0,1,0
4,2,2,1,1,1,52.3611562,4.875294817,6,0,2.58792035,1,0,1,0,0
2,1,1,2,1,2,52.37616571,4.892116786,3,0,0.599215088,1,0,0,1,0
2,1,1,2,1,2,52.35376011,4.931266819,2,3,3.556892476,1,0,0,1,0
2,1,1,1,2,1,52.36245278,4.86653765,2,1,2.905082287,1,0,1,0,0
2,1,1,1,1,1,52.3742239,4.876553491,2,4,1.647129496,1,0,1,0,0
4,1,2,20,2,24,52.34548982,4.859105426,3,2,4.638122355,1,0,1,0,0
4,1,2,1,2,1,52.35979402,4.849913136,2,3,3.991632527,1,0,1,0,0
2,1,1,1,1,1,52.36489271,4.935669888,4,19,2.927253687,1,0,1,0,0
2,1,1,1,1,1,52.38403268,4.848410421,1,17,3.502369107,0,1,0,1,0
4,1,2,1,3,2,52.39256985,4.913788241,2,29,1.777424873,1,0,1,0,0
2,1,1,1,1,1,52.37870422,4.890950728,3,5,0.577774466,1,0,1,0,0
2,1,1,1,1,1,52.34917023,4.848366929,21,0,4.809843769,1,0,1,0,0
4,1.5,1,1,2,1,52.37149166,4.904923815,2,16,0.933011119,1,0,1,0,0
3,1,2,1,2,1,52.36845328,4.860475362,2,0,2.899646223,1,0,1,0,0
2,1,0,1,1,1,52.37073252,4.928607659,7,13,2.191117843,1,0,1,0,0
2,1.5,1,1,1,1,52.36744723,4.91097324,2,0,1.521745359,1,0,1,0,0
4,2,1,1,2,1,52.37353851,4.873566398,4,28,1.86359164,1,0,1,0,0
7,2,3,1,1,1,52.36461253,4.926565773,10,0,2.452138182,1,0,1,0,0
